Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Voluptatem corrupti enim consectetur saepe nihil.,2024-12-06,2024-12-25,Quam saepe architecto quia omnis rem. Quaerat necessitatibus exercitationem quod nesciunt. Quod dolorem iste.,Automatizacion de Procesos|Arquitectura de Computadores|Teoria de la Computacion,9000134-6|Ivonne Sofia Otero Blanco|zeferino86@example.com,"9000234-4|Sergio Luna|natividad88@example.com, 9000298-4|Porfirio Olvera Limon|victor92@example.com, 9000149-4|Citlali Florencia Longoria|carla07@example.net",12|67|19,Ad voluptatibus ut in facere cum doloremque.|Eius cumque nulla ipsam quam assumenda incidunt nihil impedit consectetur similique minus.|Exercitationem ea sint repudiandae placeat odit dolore.
Adipisci animi accusantium facilis temporibus.,2024-03-24,2024-05-03,Totam odit fuga tempora est aperiam ipsam. Fuga incidunt cupiditate doloribus laboriosam autem. Iure a aliquid animi blanditiis.,Algoritmos,"9000165-K|Concepcion Vanesa Adame|pizarroestefania@example.org, 9000101-1|Pilar Adalberto Sierra Espino|guardadolorenzo@example.com, 9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com","9000129-1|Noelia Robles|fmanzanares@example.org, 9000093-K|Ivonne Jeronimo Aguayo Duran|raulpacheco@example.org, 9000017-3|Maximiliano Felipe Palomino Luevano|sbeltran@example.org",51|58|72,Corporis adipisci quam voluptate provident iure deserunt.|Illum aut amet quae ex voluptas.|Facere minus eius error reiciendis cupiditate provident ad natus.
Expedita similique perspiciatis ipsum.,2024-04-28,2024-05-13,Adipisci voluptatem illo. Aut vitae occaecati ad architecto blanditiis. Nihil pariatur commodi dolorum accusantium omnis nesciunt.,Visualizacion de Datos,"9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net, 9000081-9|Dalia Jose Eduardo Mota Fuentes|vicente19@example.net","9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net, 9000137-6|Amador Lerma Saldana|ilira@example.org, 9000089-4|Humberto Indira Montano|wcedillo@example.com",48|70|60,Officia dicta nihil placeat repellendus fugit nam eos.|Tenetur veritatis corrupti laborum veritatis laborum necessitatibus dolorum rerum quis ipsa.|Qui voluptas pariatur nisi nesciunt tenetur voluptatum ipsum.
Architecto reprehenderit eaque.,2024-09-29,2024-09-30,Necessitatibus ipsam magni ipsa accusamus. Aperiam ad molestiae in. Labore atque sapiente sapiente fugit assumenda.,Computacion Cuantica,"9000107-7|Bernabe Uribe Cortes|guillermina93@example.net, 9000253-6|Carolina Victoria Roldan|gabinosuarez@example.net, 9000007-1|Adela Colon|ecorrea@example.com","9000153-4|Mtro. Martin Alfaro|isabel16@example.net, 9000156-7|Paulina Torres Lopez|cristina25@example.net, 9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org",12|67|5,Nam ex fugiat autem ut neque similique omnis odit delectus odit suscipit unde.|Rerum fugiat molestias quam vel inventore eaque maiores corrupti.|Accusamus natus aut consequuntur voluptatem explicabo quis repudiandae illum molestiae commodi.
Voluptas vero quod eaque id possimus dolorem.,2023-04-12,2023-06-09,Consequuntur ea laboriosam voluptatibus quidem ipsum.,Sistemas Operativos,"9000292-2|Rocio Juana Nieto Cardenas|marianaalvarado@example.net, 9000074-5|Rufino Nancy Chacon|leallinda@example.com, 9000082-K|Georgina Israel Maya|chavarriacornelio@example.org","9000158-4|Juana Ruben Tamez Lozano|msantiago@example.com, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net, 9000283-1|Gonzalo Jonas Arreola|georgina15@example.com",69|72|84,Delectus dolorum ullam eum maiores id quod praesentium tenetur facere.|Quibusdam libero ea nulla inventore officiis sit possimus earum.|Impedit sapiente iusto qui tempore ut aperiam maiores praesentium nisi nemo molestias aliquam.
Vero quas sint iure mollitia atque aspernatur.,2024-11-16,2025-01-15,Maxime voluptatum ratione saepe numquam ullam. Fugiat eaque in optio nulla totam praesentium neque.,Computacion en la Nube,"9000198-8|Cristal Esmeralda Miramontes Canales|olivaresbeatriz@example.com, 9000118-9|Jeronimo Tomas Saucedo Pabon|alicia14@example.org","9000143-8|Salvador Cristian Benitez|soledadsalcido@example.com, 9000129-1|Noelia Robles|fmanzanares@example.org, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net",38|20|72,Rem dignissimos et illum quae commodi maiores ea fuga animi laborum aliquid nisi.|Error consequatur minus neque debitis eos fugiat fugiat sint quos qui nam ipsa.|Illum eveniet ipsa cum reprehenderit ut et sint laudantium ipsam modi adipisci.
Quos est eum dolore quos rem adipisci.,2025-02-01,2025-03-27,Sequi fuga reiciendis soluta quos. Quo excepturi enim autem.,Etica en Tecnologia,"9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net, 9000128-0|Hermelinda Zapata Casarez|montenegrooscar@example.com","9000238-8|Ing. Bernabe Matos|marthacasillas@example.com, 9000230-5|Jeronimo Veronica Cordero Gracia|concepcionfrancisco@example.org, 9000093-K|Ivonne Jeronimo Aguayo Duran|raulpacheco@example.org",64|95|44,Repellendus dolorum reiciendis odit voluptatibus ab temporibus modi autem nihil voluptatem laboriosa|Voluptatibus consectetur soluta cupiditate nisi velit ipsam quos accusamus reiciendis ipsum voluptat|Recusandae sequi odit incidunt corporis beatae cum dignissimos dolorum quasi sunt.
Dolorem exercitationem nihil harum quibusdam aliquid.,2023-06-16,2023-07-14,Voluptate odio fuga eaque maiores est. Perferendis possimus doloremque eveniet. Facere quibusdam veniam aliquid perferendis.,Desarrollo Web,9000098-5|Mtro. Minerva Almaraz|naranjohomero@example.org,"9000139-9|Leonel Mauro Sotelo Partida|evelasco@example.org, 9000129-1|Noelia Robles|fmanzanares@example.org, 9000276-7|Maria Cristina de Leon Rael|mayayeni@example.com",3|81|34,Ipsa quo quisquam doloribus eos odit quia laudantium adipisci sint nam.|Placeat reprehenderit tempore explicabo accusamus molestiae reiciendis architecto quos vitae.|Ducimus quaerat deserunt harum voluptatibus voluptatem.
Quaerat magnam corporis numquam dolorem sed.,2024-09-27,2024-10-20,Alias ullam praesentium. Maiores quaerat id labore.,Ingenieria de Requisitos|Ciberseguridad,"9000092-3|Diego Hermelinda Alcaraz Tejeda|gerardoarmenta@example.org, 9000235-K|Magdalena Medrano Zayas|aldonza13@example.net, 9000147-K|Patricio Alejandro Negron|luis-manuelcavazos@example.org","9000284-3|Geronimo Elena Carreon|pereasessa@example.org, 9000089-4|Humberto Indira Montano|wcedillo@example.com, 9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com",98|79|37,Labore nulla ipsum quos autem odit.|Dolores nisi corporis itaque magnam optio soluta quasi rem necessitatibus.|Voluptates minus quod suscipit quisquam nisi esse voluptates laboriosam praesentium saepe.
Earum ipsum consequuntur fugiat.,2025-03-29,2025-04-03,"Similique voluptates molestiae vitae.
Eaque temporibus rerum officiis. Ipsum maxime dolores recusandae corrupti beatae officia mollitia.",Sistemas Recomendadores,9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com,"9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com, 9000089-4|Humberto Indira Montano|wcedillo@example.com, 9000033-5|Fernando Cisneros|arteagagregorio@example.com",40|46|13,Quae nam distinctio corporis aliquid blanditiis.|Dolorem suscipit accusamus porro harum inventore beatae tenetur.|Sapiente nisi sint ullam perspiciatis quaerat commodi molestias repellendus deleniti fugit at.
Totam doloremque mollitia unde.,2023-06-18,2023-07-08,"Nihil quidem ratione eius. Odit deserunt est sint nihil rerum ratione.
Dicta quo accusantium.",Bases de Datos,"9000288-7|Leticia Federico Malave|mario88@example.com, 9000082-K|Georgina Israel Maya|chavarriacornelio@example.org","9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000019-9|Lic. Ofelia Berrios|vmarin@example.com, 9000010-1|Cristina Jose Eduardo Marrero Melendez|avilacristal@example.org",23|55|57,Provident tempora velit voluptates a ipsum eum.|Nostrum ullam nihil quo iusto minima accusamus quo quis inventore molestias.|Mollitia fugiat quas natus illo harum itaque accusamus doloremque.
Nam maxime odio blanditiis minus placeat.,2023-11-15,2023-11-22,Asperiores adipisci rem inventore facilis sapiente necessitatibus tempore. Possimus dolores ad. Consequatur sunt quisquam facere.,Analisis de Algoritmos|Testing de Software|Blockchain,9000285-2|Eric Tirado|hugoozuna@example.net,"9000040-6|Cynthia Irene Garza|norma41@example.com, 9000031-2|Maria Elena Centeno Serna|kreyes@example.org, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net",76|76|100,Non nihil velit ipsa debitis consequuntur velit.|Maiores asperiores amet provident voluptatum sunt quam facilis totam autem.|Expedita eos laborum rerum eum quod consectetur sapiente consequuntur sapiente facilis rerum quae.
Vel amet odio.,2024-03-02,2024-03-21,Illum veritatis itaque distinctio consequatur sed. Voluptatibus magnam ullam nostrum suscipit suscipit eius.,Robotica|Bases de Datos,"9000066-1|Andres Pacheco Salazar|velazquezsonia@example.net, 9000253-6|Carolina Victoria Roldan|gabinosuarez@example.net","9000029-4|Ricardo Antonia Armenta|smontanez@example.org, 9000183-0|Hermelinda Carlos Arreola|lourdesreyna@example.org, 9000097-0|Virginia Tirado Cepeda|caridad28@example.com",66|21|87,Harum ut unde recusandae fuga laboriosam.|Ratione velit odit quidem animi blanditiis.|Voluptate nostrum sapiente suscipit autem repellendus assumenda delectus aspernatur sunt.
Dolorem repellendus recusandae amet necessitatibus dicta.,2024-04-12,2024-04-30,Architecto inventore et accusamus vero ducimus praesentium.,Mineria de Datos|Machine Learning,"9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com, 9000014-0|Miguel Angel Alejandro Castro|benito71@example.net","9000109-K|Ing. Marisol Vallejo|soledad52@example.com, 9000063-4|Amelia Loera|jesus19@example.net, 9000272-4|Maria del Carmen Candelaria Montalvo|santanaveronica@example.org",55|35|53,Impedit quasi vero recusandae maiores consequuntur labore.|Repellat assumenda temporibus quas architecto ducimus aliquid explicabo natus.|Illo placeat architecto tempora distinctio sunt ratione facere ducimus quisquam reprehenderit except
Minus illo earum molestias aliquam inventore.,2025-04-08,2025-05-02,Molestias voluptatibus voluptatum tempora ut magnam molestias voluptas. Reiciendis fugit voluptatem tenetur voluptas error.,Metodos Numericos|Analisis de Sistemas,"9000233-3|Sonia Velasquez|juan-carlossaldana@example.com, 9000014-0|Miguel Angel Alejandro Castro|benito71@example.net","9000108-6|Benito Natividad Tirado Soto|miramontesserafin@example.org, 9000104-5|Maria Luisa Oscar Monroy|zoe49@example.com, 9000149-4|Citlali Florencia Longoria|carla07@example.net",17|38|0,Temporibus eveniet aliquam occaecati est adipisci voluptatibus aut doloremque veritatis.|Iure magni harum nobis placeat consequuntur rem.|Placeat amet praesentium cumque ad quaerat fuga doloremque repellendus ut praesentium.
Placeat voluptatum tempora pariatur.,2024-09-19,2024-10-14,"Temporibus quos tempore facere vitae ab. Quis praesentium amet eum excepturi sint.
Vitae omnis placeat ea odio nulla. Ipsa aliquam rerum.",DevOps|Interaccion Humano Computador,"9000177-7|German Duran|fsalazar@example.com, 9000205-6|Angela Natividad Mondragon Alcala|gsaiz@example.com","9000234-4|Sergio Luna|natividad88@example.com, 9000028-9|Isabela Dario Bermudez|tameznayeli@example.org, 9000076-K|Sessa Manuel Laureano Baez|palominojose@example.net",41|77|88,Dolor esse quam dicta tempore blanditiis eius commodi adipisci dolor aliquid nostrum voluptas.|Aperiam molestiae occaecati tenetur veritatis voluptatibus excepturi nostrum tempora.|Facere quis doloribus fugiat necessitatibus corporis facere architecto animi vitae necessitatibus ne
Id incidunt totam.,2024-07-07,2024-07-28,Asperiores harum ipsa ea. Voluptatum magnam possimus commodi suscipit. Optio necessitatibus enim neque vitae.,Metodos Numericos,9000294-0|Samuel Ybarra|octavioolivares@example.com,"9000264-3|Modesto Norma Ontiveros|iglesiasfrancisca@example.net, 9000026-3|Mtro. Ines Candelaria|menchacavirginia@example.com, 9000061-K|Mateo Feliciano|ines40@example.org",73|100|31,Occaecati optio nemo quod dolor dolore.|Sequi architecto qui adipisci aliquam tempora in perspiciatis explicabo ab.|Nam impedit ducimus accusamus suscipit blanditiis fugit ipsam recusandae nulla ab tempore.
Vero unde itaque quidem voluptatum nam.,2023-06-03,2023-07-26,Eum natus delectus cupiditate qui quo est. Aliquid veritatis dolores perferendis sunt reiciendis. Itaque explicabo delectus ducimus.,Robotica|Arquitectura de Computadores,"9000261-6|Paulina Menendez|maria-elena44@example.com, 9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org","9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org, 9000208-5|Lic. Cristian Curiel|sofiade-jesus@example.net, 9000293-6|Ing. Eloy Vega|danielmenchaca@example.net",23|87|98,Tenetur minima commodi nemo laborum a facilis atque autem beatae.|Distinctio fuga mollitia aspernatur nihil est quibusdam porro iusto provident atque.|Maxime quae quibusdam quo totam laboriosam quisquam praesentium similique architecto voluptatem non 
Laboriosam cupiditate magni ex sunt sint omnis voluptatum.,2025-02-20,2025-04-07,"Quam labore a debitis. Nostrum modi numquam saepe dolorem.
Dolorum eius laborum eius. Quasi unde similique quibusdam architecto.",Redes|Automatizacion de Procesos|Compiladores,9000177-7|German Duran|fsalazar@example.com,"9000026-3|Mtro. Ines Candelaria|menchacavirginia@example.com, 9000248-1|Cristal Victor Rosario|biancamontez@example.net, 9000018-8|Luis Manuel Cervantes Jaime|karina50@example.com",86|63|17,Doloribus quaerat aliquam quod consectetur atque excepturi.|Illum id a voluptates animi quaerat.|Doloremque repudiandae itaque explicabo temporibus atque modi consequatur architecto ad cum nisi imp
Iusto fugiat non similique.,2023-05-13,2023-06-25,Quibusdam minus blanditiis quos ea sapiente quia reprehenderit. Nulla hic corrupti aspernatur.,Criptografia|Bioinformatica|Ingenieria de Software,9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net,"9000225-K|Marcos Linda Roybal|vfigueroa@example.net, 9000091-8|Camila German Vela Gastelum|xvalentin@example.net, 9000135-9|Renato Carmona Espino|quintanahumberto@example.com",76|61|74,Doloremque hic corrupti necessitatibus rem facere aperiam neque quod quos.|Omnis ipsam inventore voluptatem placeat non deleniti dolore impedit.|Esse non cumque deleniti sed harum.
Sunt blanditiis eos corporis dolor illum.,2024-10-11,2024-12-10,Velit mollitia eum perferendis aut maiores. Odio veritatis modi laudantium voluptates veniam nulla.,Teoria de la Computacion|Testing de Software,"9000136-1|Pamela Garza Cordova|claudia10@example.org, 9000058-3|Gonzalo Godinez|estefania39@example.com, 9000003-4|Oswaldo Felipe Davila|rojeda@example.net","9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com, 9000244-7|Paulina Rodriguez|fernandoybarra@example.org, 9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com",13|98|31,Sed minus illo fugiat quaerat fuga iure quas totam natus.|Libero recusandae illo quae quam voluptatibus quam velit totam.|Veniam facere dolores fuga iusto similique hic ut nisi magnam.
Inventore temporibus consectetur debitis.,2023-09-10,2023-10-22,Ad possimus ab ex saepe nulla. Magni repellendus delectus id consequuntur.,Aprendizaje Profundo|Vision Computacional|Mineria de Datos,"9000145-K|Andres Eric Valverde Mascarenas|vanesasanabria@example.com, 9000056-5|Aurora Leonardo Alcaraz Jaime|renteriajose-carlos@example.net, 9000164-4|Hector Villalobos|kmagana@example.net","9000156-7|Paulina Torres Lopez|cristina25@example.net, 9000234-4|Sergio Luna|natividad88@example.com, 9000149-4|Citlali Florencia Longoria|carla07@example.net",1|12|33,Recusandae culpa impedit blanditiis quod suscipit distinctio repellat iste.|Dolore quo dolorem vero perspiciatis accusantium modi placeat commodi velit reprehenderit.|Consequuntur blanditiis fuga molestias at ut eligendi culpa.
Repellendus omnis qui debitis suscipit magnam.,2024-01-22,2024-03-10,Eaque perspiciatis tempora libero beatae. Odit cum officia repellendus ad. Illum exercitationem quia corporis temporibus iure consequatur.,Testing de Software,"9000117-4|Mtro. Olga Sanchez|daniel47@example.com, 9000220-3|Beatriz Gollum Terrazas|juliarendon@example.com, 9000296-4|Camilo Cintron|archuletahernan@example.com","9000251-5|Noemi Castellanos Linares|cruzgeorgina@example.com, 9000135-9|Renato Carmona Espino|quintanahumberto@example.com, 9000017-3|Maximiliano Felipe Palomino Luevano|sbeltran@example.org",50|59|98,Officiis omnis aliquid ad corrupti sequi debitis consectetur est eum.|Blanditiis ad error voluptas porro commodi ullam quis.|Rem possimus laudantium cum alias commodi fugiat exercitationem quae maxime hic temporibus.
Nobis delectus quas.,2024-02-08,2024-02-18,Exercitationem quaerat vitae explicabo tempora. Tenetur corrupti corrupti possimus repellendus. Praesentium deleniti minima non a.,Sistemas Distribuidos|Visualizacion de Datos|Testing de Software,"9000138-6|Soledad Serafin Najera Velez|angelaarmenta@example.net, 9000195-8|Pablo Roybal|isabela88@example.com","9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000282-0|Lic. Paulina Lemus|cazaresbeatriz@example.com",10|14|93,Libero vero quisquam rem rerum dicta aliquam accusamus commodi id explicabo sapiente reprehenderit.|Dolore vitae perspiciatis odio delectus at similique pariatur sapiente ipsa provident ea similique.|Laboriosam eveniet quidem consectetur distinctio voluptas dolor porro corrupti veritatis ullam.
Accusantium autem non ducimus culpa nam perferendis.,2023-07-15,2023-08-04,Quaerat pariatur placeat similique. Quasi explicabo animi delectus. Voluptatibus excepturi fuga aliquid harum rerum odio quam.,Vision Computacional,"9000055-9|Elena Sisneros Najera|wquintanilla@example.org, 9000201-3|Esperanza Esparta Alva Espinoza|rmendez@example.org","9000289-3|Abraham Francisca Olivera|mariselajaramillo@example.com, 9000020-0|Dr. Teodoro Gonzales|camarilloliliana@example.com, 9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com",60|12|56,Eum accusamus optio dolor harum illo animi quos optio dolorem repudiandae labore facilis.|Et eius labore facere dolorum asperiores.|Vel optio fuga incidunt quam asperiores necessitatibus ullam.
Ex earum necessitatibus perferendis nemo fugiat.,2024-05-22,2024-05-27,Eum molestias facere delectus labore a consequatur ducimus. Voluptate pariatur architecto sint libero consequatur.,Visualizacion de Datos|Realidad Virtual|IoT,"9000145-K|Andres Eric Valverde Mascarenas|vanesasanabria@example.com, 9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org","9000006-2|Blanca Virginia Alvarez|adelamuniz@example.org, 9000139-9|Leonel Mauro Sotelo Partida|evelasco@example.org, 9000149-4|Citlali Florencia Longoria|carla07@example.net",86|21|94,Dolor cumque laudantium laborum aspernatur nobis quo consectetur officiis perferendis adipisci vero.|Vitae modi labore molestias explicabo sapiente vel velit placeat tempore praesentium est beatae.|Occaecati fugit est adipisci maiores quam neque.
Delectus commodi aliquid commodi architecto sapiente.,2023-11-09,2023-11-21,Rem earum eligendi odit reiciendis eligendi ab. A in natus. Esse molestias quis libero error ipsum.,Programacion Paralela,"9000021-8|Sr(a). Antonia Terrazas|natividadjaimes@example.org, 9000128-0|Hermelinda Zapata Casarez|montenegrooscar@example.com, 9000255-0|Camila Mayte Benitez Cisneros|zoeosorio@example.net","9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000133-K|Fernando German Valdez|espartaco44@example.net, 9000175-9|Alicia Indira Camacho|clemente20@example.com",51|80|23,Incidunt delectus iure aspernatur sunt natus facere necessitatibus fugit eum amet fuga iure.|Debitis expedita cum cum impedit dignissimos.|Doloremque aspernatur et enim minima sed saepe quis nostrum.
Ullam impedit ipsa error ex ea.,2024-06-21,2024-08-03,Esse ducimus asperiores tempore nostrum. Necessitatibus nobis doloribus non rerum velit.,Computacion Cuantica,"9000294-0|Samuel Ybarra|octavioolivares@example.com, 9000132-2|Gregorio Arcelia Gonzales|olivaresgerman@example.com","9000108-6|Benito Natividad Tirado Soto|miramontesserafin@example.org, 9000122-5|Liliana Emilia Partida|tbanuelos@example.org, 9000269-2|Conchita Zelaya|itzelmatos@example.org",49|0|90,Corporis aliquid eveniet in non labore vel voluptates.|Odit sunt nesciunt ut aut culpa voluptas voluptatum quis ipsum aperiam cupiditate.|Quis laboriosam error sed expedita enim quae impedit excepturi reiciendis consequatur quod.
Doloribus aliquam eius.,2024-02-07,2024-02-25,Fugit aperiam quam dolore amet. Consequuntur qui explicabo. Quod dignissimos sint ex.,Sistemas Operativos,"9000119-6|Camila Teran Jaramillo|bruno46@example.org, 9000296-4|Camilo Cintron|archuletahernan@example.com, 9000115-8|Ernesto Tirado|reinavelazquez@example.com","9000244-7|Paulina Rodriguez|fernandoybarra@example.org, 9000000-K|Horacio Valdivia Ocampo|carolina81@example.net, 9000062-3|Sr(a). Alicia Bonilla|velazquezgabino@example.net",41|25|58,Assumenda dolore molestiae fuga suscipit eos delectus repudiandae.|Ut qui alias dolorum est eos eaque dignissimos.|Accusantium doloremque iste neque magnam possimus reiciendis.
Quos molestiae adipisci mollitia temporibus veniam.,2023-12-30,2024-02-11,Necessitatibus eligendi quidem vero. Suscipit officiis officia voluptas. Suscipit aperiam ea voluptatibus error sapiente.,Ingenieria de Software,"9000102-3|Graciela Trevino|antoniaquintanilla@example.com, 9000266-3|Alejandra Silvia Corral|carmenrojas@example.net","9000033-5|Fernando Cisneros|arteagagregorio@example.com, 9000262-5|Lic. Felix Crespo|reynaldo53@example.org, 9000009-8|Ing. Yolanda Moreno|osorioalma@example.com",44|45|58,Ipsum excepturi sit ullam cum dicta maxime corrupti.|Ab accusamus ex nemo autem dignissimos ab accusantium.|Ducimus iusto architecto porro pariatur incidunt itaque ut.
Ipsa incidunt quod.,2023-10-21,2023-12-12,"Optio consequatur amet fuga. Repellendus quam totam ea sunt iure.
Odit porro eum ea autem ratione nobis. Unde amet facere molestiae.",Computacion en la Nube|Data Warehousing|Sistemas Recomendadores,"9000253-6|Carolina Victoria Roldan|gabinosuarez@example.net, 9000146-1|Ana Luisa Ricardo Torres|martinezana-luisa@example.org","9000002-0|Mtro. Leonel Martinez|felix10@example.net, 9000237-3|Maria Luisa Bernal Marroquin|zvela@example.net, 9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com",39|14|23,Dolorum deleniti nemo velit recusandae aut assumenda voluptatem blanditiis itaque maiores doloremque|Voluptatem mollitia rem quia amet totam voluptate asperiores sequi sint.|Eos alias occaecati dolorem corrupti aut voluptas nulla possimus debitis et suscipit.
Laudantium cupiditate consequuntur laudantium.,2025-01-23,2025-02-25,Dolorum nam delectus accusantium similique. Corporis fugiat fugiat eum. Nihil officia sed deserunt deserunt.,Visualizacion de Datos|Big Data,"9000136-1|Pamela Garza Cordova|claudia10@example.org, 9000012-6|Lic. Nadia Tamez|ana-luisasauceda@example.org","9000079-K|Dr. Esparta Acosta|lugomarisol@example.net, 9000238-8|Ing. Bernabe Matos|marthacasillas@example.com, 9000037-5|Sr(a). Amalia Arellano|isabelarojo@example.net",23|62|81,Libero nobis ullam accusamus iure rem ab fugiat placeat quisquam placeat architecto.|Deleniti placeat libero numquam temporibus id odio distinctio veniam nisi.|Impedit eaque iste libero eum cupiditate tenetur necessitatibus accusantium aspernatur.
Expedita assumenda repellat consequatur omnis nemo.,2024-10-25,2024-11-30,Nihil blanditiis eum sint. Dolor corrupti et quidem praesentium illo.,Visualizacion de Datos|Redes Neuronales|Computacion en la Nube,9000239-2|Alvaro Matias|yolivarez@example.net,"9000278-1|Mtro. Armando Pineda|posadasalvador@example.org, 9000230-5|Jeronimo Veronica Cordero Gracia|concepcionfrancisco@example.org, 9000000-K|Horacio Valdivia Ocampo|carolina81@example.net",40|57|79,Dolore modi sed aliquam nemo sequi dolore.|Aperiam odit debitis corrupti veniam cupiditate asperiores quibusdam.|Optio sunt quae modi sit molestiae modi voluptatibus error ab quis autem.
Ea modi harum voluptates quibusdam saepe.,2025-04-03,2025-04-04,Recusandae debitis unde.,Vision Computacional,"9000146-1|Ana Luisa Ricardo Torres|martinezana-luisa@example.org, 9000047-7|Lic. Silvano Correa|daliadiaz@example.com","9000238-8|Ing. Bernabe Matos|marthacasillas@example.com, 9000029-4|Ricardo Antonia Armenta|smontanez@example.org, 9000035-2|Natalia Mayte Laboy|brunomenendez@example.org",83|63|52,Repellat debitis deserunt accusantium porro aliquid cum ducimus dolor voluptate eligendi.|Vel totam necessitatibus similique sint at sint ipsum repudiandae illo non voluptate.|Nemo minima officiis maiores dicta quasi accusantium dolor inventore.
Accusantium porro cumque a a vel.,2024-05-05,2024-06-28,Excepturi molestias deleniti atque eum aliquid repellat. Doloribus minus doloremque quae vel.,Ingenieria de Requisitos|Blockchain|Sistemas Recomendadores,"9000239-2|Alvaro Matias|yolivarez@example.net, 9000088-6|Sara Ursula Tafoya Aguilera|wilfrido12@example.com","9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com, 9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org, 9000045-4|Andrea Rolon Rangel|nelly91@example.com",97|28|37,Tempora perferendis sunt dignissimos repellendus illum quia magni odio sunt vitae totam quibusdam.|Debitis iste dolorum mollitia vitae autem voluptate deleniti optio ratione dicta.|Quaerat corrupti perferendis sed quasi dolore tempore itaque.
Quas aperiam labore provident quisquam velit accusantium veritatis.,2023-04-14,2023-04-29,Molestiae error optio debitis perferendis. Praesentium fugiat possimus reprehenderit. Fugit cupiditate sit nemo atque eum dignissimos.,Arquitectura de Computadores,"9000152-1|Pablo Trevino|micaelagaona@example.com, 9000107-7|Bernabe Uribe Cortes|guillermina93@example.net, 9000226-0|Gabriela Paulina Ceja|marcela71@example.org","9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org, 9000206-K|Dr. Oswaldo Archuleta|lorenadel-valle@example.org, 9000160-2|Camilo Florez|gbustos@example.com",65|14|73,Quos itaque placeat libero nam placeat sed eligendi eius veritatis deserunt non magnam.|Beatae iure enim itaque velit exercitationem id neque repellat.|Voluptatum eos nesciunt adipisci enim ab non.
Rem soluta eveniet cupiditate saepe voluptates cum.,2023-04-12,2023-06-01,Aliquam id mollitia temporibus accusantium molestias earum. Facere aut dolore nam molestiae.,Arquitectura de Computadores,"9000261-6|Paulina Menendez|maria-elena44@example.com, 9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net, 9000252-6|Dr. Irma Badillo|alonsomata@example.com","9000067-6|Sonia Aldonza Zambrano Rojo|vanesa99@example.org, 9000293-6|Ing. Eloy Vega|danielmenchaca@example.net, 9000125-8|Elvira Salma Chavarria|amelia75@example.net",54|13|94,Aliquid exercitationem hic perspiciatis aut suscipit quod explicabo.|Accusantium voluptas facere eos nam quisquam deleniti ipsa.|Pariatur tempore eos ipsum amet quis totam totam officiis minus cum soluta.
Adipisci occaecati dignissimos.,2023-10-12,2023-12-07,Aliquid earum eos veniam. Consectetur nisi aliquam laborum pariatur. Nam ut repellendus fugiat error aliquam.,Analisis Forense Digital|Bioinformatica|Criptografia,9000044-9|Irene Camilo Paez Serrano|torresmaria-teresa@example.com,"9000039-1|Victor Soledad Cano|cecilia05@example.net, 9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com, 9000010-1|Cristina Jose Eduardo Marrero Melendez|avilacristal@example.org",56|15|99,Ut officia eos recusandae ea esse tempore esse.|Placeat eveniet nisi nobis eveniet atque reprehenderit doloremque dolore.|Laudantium aspernatur consequatur ex expedita aut.
